,Activity
3154,6
6419,3
701,5
4246,4
4438,6
5038,3
4453,6
2728,5
833,2
3878,6
549,5
1020,4
248,1
6108,4
296,3
2057,2
1199,4
5218,3
3308,4
100,1
4241,4
3244,5
2440,6
5039,3
1509,4
3660,4
4055,4
6222,2
346,3
3615,5
2223,5
681,2
3289,4
2981,1
5833,2
4339,3
3102,4
3168,1
7202,4
1786,5
1905,5
3685,6
4028,4
6636,5
3262,5
3113,4
6689,6
6076,5
84,1
5368,6
7331,2
4365,3
2357,2
1608,2
1992,1
3580,2
1315,5
2759,4
3834,4
4545,5
2423,4
5361,6
6046,2
6690,6
6928,3
6036,2
2603,6
1261,1
5896,5
7302,3
1515,4
6955,2
1876,3
4666,3
5638,3
6329,6
5647,2
6760,3
1215,6
373,5
3204,3
6592,3
3210,3
1795,4
6796,2
3379,1
5382,1
1867,3
1512,4
7167,2
1623,5
812,3
3978,5
4257,4
6456,5
3707,6
2453,6
1535,6
4370,2
5715,4
2680,2
921,1
322,2
3388,2
5676,5
5462,2
6631,5
3934,3
5773,6
3206,3
231,4
6940,3
6907,1
4053,4
1079,1
1244,1
1115,3
6813,5
1971,6
2181,3
6673,4
7131,2
5137,6
5271,5
3193,3
5620,3
6798,2
1643,5
4941,4
265,1
0,5
3149,6
2818,1
838,2
14,5
4176,5
4221,4
1374,6
8,5
1039,4
6178,1
4056,4
3066,5
3406,2
5362,6
339,3
2110,4
2302,1
6864,4
1090,1
6773,3
6619,2
622,1
7276,1
2126,6
4072,6
1372,6
3366,1
2638,1
5435,3
889,4
6970,5
3745,1
196,5
4169,2
3347,6
1385,6
6627,5
4273,6
432,6
5562,6
2304,1
4505,3
3153,6
1108,3
5156,6
4094,6
2402,5
4864,3
3692,6
1195,4
5300,5
604,6
2351,3
1618,2
1219,6
6785,2
2087,4
1677,6
4696,5
4905,5
2177,3
6527,6
1158,5
5067,5
3751,3
5770,6
4689,2
3896,6
3944,2
1383,6
3050,5
4952,6
6554,1
5722,4
904,6
6894,1
2654,1
3968,5
3764,3
1902,2
6516,6
5076,5
4458,6
2233,5
1699,1
6138,6
2498,3
1860,1
4318,1
2275,4
6263,5
1820,6
254,1
5437,3
7110,3
221,6
267,1
107,1
3783,3
1226,6
1465,2
4762,4
4368,2
5065,2
1783,5
3290,4
1393,6
5639,3
1210,6
4761,4
2301,1
7179,5
1561,1
376,5
4796,6
755,6
291,1
2516,2
5099,5
188,5
1897,2
1201,4
1952,6
5252,2
4314,1
6014,3
501,2
5579,6
5204,1
2252,4
3362,1
4984,1
4315,1
6805,5
672,2
6272,5
1414,1
7255,6
6533,6
7118,3
2656,1
5781,6
1192,4
2577,4
4013,4
216,6
7079,1
4974,6
421,6
505,2
7236,6
2906,5
4078,6
5702,5
506,2
1634,5
3785,3
6716,6
4587,4
6408,2
4743,4
4645,1
6742,1
5595,1
7036,6
5266,2
4877,2
347,5
7164,2
333,3
5903,4
1721,3
1501,4
6430,3
5661,2
6884,6
3912,1
2164,1
746,6
2585,4
5263,2
5367,6
5777,6
4192,5
2045,2
4100,6
6852,4
2477,1
259,1
2284,6
3992,5
5425,3
6564,1
2184,3
1755,2
599,6
45,4
4690,2
5110,4
7147,3
3984,5
3942,2
7033,6
5152,6
3528,6
2263,4
7082,1
7011,4
5893,5
2851,2
2877,5
3091,5
1298,2
426,6
1940,4
805,3
410,6
6145,6
4862,2
438,1
2415,4
3722,6
434,1
751,6
5716,4
4883,5
5220,3
2741,4
2794,6
4977,6
7014,4
1049,6
626,1
1954,6
1223,6
210,4
2457,6
7343,2
110,1
51,6
1109,3
4765,6
5244,2
1916,5
2609,6
5130,4
4375,5
6245,5
1582,3
2273,4
3203,3
6872,6
3931,3
6503,4
4695,5
5703,5
4738,4
6179,1
5465,2
3357,1
5547,4
3704,6
705,5
1650,4
2260,4
5907,4
