,Activity
2445,6
1654,4
6017,3
2323,1
2413,4
5627,3
2570,4
4160,3
7123,2
3535,1
4588,4
2917,4
178,5
7192,5
3194,3
5148,6
1204,4
2202,2
2900,5
6460,5
5664,2
2860,2
7312,3
1770,5
829,2
3803,5
2692,2
627,1
5805,1
5623,3
925,1
295,1
1052,6
2732,4
3907,1
2447,6
944,1
5846,2
6096,4
12,5
1117,3
7058,6
2997,1
2653,1
6072,5
1319,5
779,1
7183,5
6725,1
5816,3
3184,1
6030,2
653,3
2722,5
3856,4
6204,3
5859,2
7168,5
6302,4
5601,1
2647,1
5351,6
2542,2
5102,5
570,4
1448,3
7071,1
3424,2
4118,1
1745,2
4074,6
5112,4
287,1
1738,2
4602,6
6492,4
3625,5
4550,5
4386,5
6728,1
4947,6
1684,6
4787,6
1338,5
5629,3
6089,5
4092,6
4103,1
2258,4
4251,4
4454,6
3341,6
6965,2
3989,5
1564,1
5609,1
4012,4
2678,3
2185,3
3274,5
1231,6
6314,4
1258,1
2254,4
1951,6
6832,5
113,1
6240,2
2509,3
5375,6
7296,3
507,2
3887,6
5897,5
4998,1
5481,5
3434,5
4959,6
4295,6
6916,1
350,5
6406,3
7247,6
4113,1
2505,3
3859,4
1114,3
5631,3
298,3
3710,6
5832,2
5970,6
5599,1
5998,1
3058,5
3107,4
229,4
4022,4
4479,1
5096,5
3532,1
4908,5
2103,4
5780,6
7074,1
2799,6
4907,5
1614,2
607,6
3258,5
1093,1
6160,6
7222,4
6980,5
203,4
2387,5
5125,4
4842,2
837,2
4414,4
7293,1
1230,6
5576,6
1609,2
6465,5
4328,1
6984,5
5243,2
5640,3
5953,6
4940,4
3159,6
5747,6
4511,2
6686,6
657,3
790,1
5114,4
4462,6
6061,5
2561,5
1359,4
6113,4
2347,3
6649,5
2760,4
5389,1
7339,2
6425,3
2970,6
5574,6
2575,4
6608,2
6981,5
6386,1
7211,4
1780,5
2868,2
803,3
857,5
4194,5
4865,3
3658,4
5184,1
219,6
1288,3
582,6
43,4
1234,6
4038,4
5269,2
7113,3
1892,2
6520,6
6438,2
6337,6
6077,5
1071,6
718,4
2364,2
1505,4
670,2
4228,4
5379,1
5880,5
6768,3
897,6
5916,4
3103,4
1530,6
2926,4
6149,6
6146,6
3404,2
3080,5
3182,1
6032,2
5603,1
1874,3
2370,2
1769,5
5338,4
3248,5
1983,1
531,5
6536,6
6611,2
3475,4
3891,6
3303,4
2163,1
731,4
2339,3
5340,6
2232,5
6931,3
4649,1
4224,4
2771,6
4828,3
4420,4
1255,1
2104,4
3935,3
3985,5
898,6
428,6
5078,5
3078,5
5752,6
6871,6
1222,6
3796,5
5270,2
3898,6
3542,1
5546,4
1621,2
6567,1
3479,4
4467,6
1096,1
2072,5
6642,5
4808,1
2753,4
6203,3
2588,4
1788,5
5325,4
3337,6
528,5
3438,5
192,5
6991,5
1126,3
2944,6
3721,6
3605,5
304,2
3014,3
1292,2
70,6
3017,3
4195,5
2687,2
2864,2
831,2
4871,3
1456,2
3392,2
7184,5
238,6
92,1
2942,6
3819,5
3315,6
3997,5
5309,4
3795,5
4620,6
1001,5
6052,5
7047,6
2377,2
4112,1
3045,2
2789,6
1532,6
2410,5
5509,5
411,6
3049,2
7054,6
6791,2
5872,5
4048,4
6458,5
5010,1
6708,6
5598,1
2886,5
633,1
498,2
2463,6
7129,2
637,3
720,4
288,1
757,6
6948,2
5079,5
7258,6
4359,3
4405,4
3773,2
596,6
6898,1
1068,6
1942,4
1647,4
6951,2
4832,3
2700,2
1700,1
5894,5
6803,5
5597,1
6250,5
5706,5
2123,6
4647,1
86,1
2308,1
2677,3
4955,6
5617,1
2594,4
6318,4
1029,4
6797,2
5282,5
2144,1
4606,6
1200,4
2025,3
621,1
6687,6
566,4
4054,4
1837,6
1334,5
6421,3
6993,5
2099,4
3238,5
5439,3
3849,4
1688,6
745,6
5023,3
3870,6
2187,3
195,5
1152,2
2902,5
4844,2
802,3
4504,3
2350,3
3956,3
6657,4
4753,4
2068,5
3025,2
5673,5
644,3
6501,4
5505,5
2929,4
5119,4
120,1
1777,5
3761,3
5905,4
2135,6
3578,2
4482,1
134,3
6495,4
3885,6
5668,2
5317,4
2559,5
62,6
5821,3
6404,3
3820,5
5413,1
2467,1
679,2
7344,2
741,6
1211,6
2170,3
4050,4
5022,3
4886,5
567,4
1873,3
4836,3
2596,4
1717,3
2843,3
1392,6
5517,4
4604,6
6719,6
5384,1
489,2
493,2
690,5
6123,4
602,6
1911,5
5674,5
3378,1
5321,4
6058,5
5194,1
6020,3
2366,2
1187,4
274,1
4163,3
4233,4
1361,4
7300,3
1526,6
3626,5
3307,4
7246,6
6252,5
4734,4
6912,1
1337,5
945,1
6073,5
2250,4
5783,6
4767,6
6531,6
2346,3
68,6
5378,6
5219,3
5138,6
1598,2
7091,1
4728,4
4766,6
1503,4
6691,6
150,2
2804,1
4031,4
2086,4
6702,6
2259,4
5940,6
3286,4
5663,2
7230,6
859,5
2957,6
4395,5
5671,2
3497,6
366,5
1432,3
5146,6
1779,5
5294,5
3567,3
1818,6
4693,2
841,2
2704,5
1189,4
175,2
6783,2
617,1
2093,4
3235,2
82,1
4081,6
1030,4
3892,6
300,3
4080,6
1472,2
283,1
2028,3
3824,5
4564,5
5828,3
3558,3
1813,6
1271,3
5014,3
4560,5
4652,1
4003,5
2313,1
2008,1
6292,4
2642,1
4825,1
7156,3
2305,1
3767,2
6731,1
99,1
4305,1
744,6
6801,5
480,3
4861,2
7137,2
5185,1
1157,5
6162,6
4747,4
1437,3
2414,4
4296,6
402,4
2195,2
949,3
4338,3
2067,5
3541,1
5141,6
668,2
218,6
1962,6
6968,2
3858,4
2213,2
2633,1
1659,4
3139,6
4922,4
4868,3
2145,1
777,1
2434,4
5267,2
7000,4
6112,4
1491,5
6453,5
3715,6
3047,2
7138,2
4252,4
517,2
3332,6
3551,1
4151,2
5036,3
7155,3
3656,4
4076,6
568,4
360,5
6029,2
6336,6
6403,3
4039,4
3309,4
759,6
3941,2
6909,1
5965,6
4967,6
214,6
3207,3
5327,4
3127,4
4456,6
4140,3
6932,3
1473,2
2244,5
725,4
3836,4
49,4
5755,6
887,4
6435,2
2893,5
5071,5
6641,5
516,2
2949,6
6007,3
139,3
6549,6
4180,5
4371,2
3832,4
463,1
6416,3
1233,6
594,6
4457,6
450,1
4122,1
3520,6
3872,6
312,2
5064,2
5407,1
4949,6
451,1
5936,4
890,4
2763,6
658,3
1506,4
5469,2
6879,6
999,5
389,4
2330,1
1476,5
2240,5
6610,2
6620,2
6504,4
6071,5
6201,3
2972,6
2775,6
1923,5
758,6
700,5
6437,2
1293,2
6485,5
2873,5
6150,6
6391,1
1907,5
5062,2
5101,5
368,5
1937,4
1151,2
7052,6
5430,3
7346,2
3010,3
7232,6
191,5
4678,2
6013,3
174,2
1903,2
1099,1
4872,2
7301,3
2292,6
6841,4
7148,3
4880,5
6726,1
1164,5
4121,1
6405,3
4441,6
5471,2
5198,1
1661,4
508,2
166,2
3544,1
5054,2
3454,5
5466,2
4956,6
103,1
3689,6
6979,5
3442,5
1104,1
4522,3
1752,2
6566,1
6682,4
3172,1
2916,4
4845,2
1658,4
152,2
6706,6
2483,1
1583,3
6185,1
2552,5
3742,1
4173,2
5551,4
5678,5
3217,2
6423,3
2209,2
4059,6
6333,6
2985,1
1822,6
6952,2
6212,3
5046,2
7306,3
309,2
212,4
3720,6
4411,4
3949,2
6780,2
495,2
205,4
1434,3
1135,2
2584,4
868,5
2749,4
305,2
1849,1
4060,6
1988,1
2798,6
4162,3
1534,6
3109,4
843,2
1987,1
7326,2
4939,4
4597,6
383,4
1538,6
211,4
5900,5
1957,6
5473,2
2438,4
2727,5
5377,6
5593,1
1349,4
4791,6
5033,3
6255,5
680,2
180,5
6998,4
3399,3
6792,2
5491,5
278,1
3250,5
6535,6
2480,1
289,1
3075,5
5672,5
5519,4
993,5
2236,5
3979,5
39,4
5186,1
2754,4
5891,5
5451,2
270,1
7031,6
2883,5
6006,3
5284,5
4715,5
5709,4
111,1
3218,2
1391,6
2600,6
220,6
3995,5
7340,2
4829,3
4478,1
83,1
873,5
6812,5
4594,4
461,1
6466,5
551,5
3918,1
2374,2
6180,1
2246,5
6920,1
4288,6
2450,6
2329,1
6167,1
2146,1
4253,4
4104,1
6490,4
650,3
708,5
6285,5
3792,2
3686,6
3592,2
3063,5
5223,3
1424,1
1216,6
5610,1
1924,5
104,1
1064,6
314,2
1289,3
1427,3
5159,6
5786,1
3129,4
6930,3
5945,6
3008,3
6083,5
1105,1
3945,2
5405,1
4518,2
7350,2
3877,6
684,2
5381,1
4731,4
2765,6
3353,1
5724,4
2451,6
3477,4
326,2
2652,1
6147,6
2176,3
3982,5
4342,3
7098,1
3318,6
5875,5
2787,6
5008,1
3593,2
1676,6
348,5
5363,6
3226,2
3951,2
4674,2
1626,5
7218,4
7107,3
3774,2
871,5
4310,1
4034,4
3590,2
2218,2
3326,6
3539,1
6227,2
2121,6
7166,2
6862,4
6219,2
85,1
4210,5
1877,3
2801,1
5802,1
2640,1
6296,4
2880,5
5589,6
494,2
2019,3
2525,2
4409,4
5209,3
5679,5
5411,1
1270,3
4075,6
5943,6
2895,5
4041,4
6075,5
618,1
7038,6
5564,6
5212,3
5397,1
3405,2
4377,5
1413,1
2201,2
2001,1
5482,5
869,5
2358,2
2006,1
3090,5
4577,4
5095,5
356,5
1162,5
5584,6
3064,5
6442,2
3161,6
5391,1
4633,1
2607,6
7250,6
1890,2
579,6
2319,1
5153,6
1691,6
862,5
4981,6
4528,2
2380,2
2378,2
7175,5
5386,1
3306,4
6839,4
3955,3
1116,3
1541,6
4165,3
5655,2
6764,3
5717,4
6275,5
4966,6
6306,4
6477,5
4920,4
4793,6
3365,1
2500,3
6499,4
4126,1
6518,6
6526,6
7234,6
4304,1
7085,1
4704,5
7007,4
3731,1
4329,3
5460,2
4888,5
7050,6
2052,2
1776,5
3910,1
3313,6
4506,3
2536,2
5277,5
4184,5
1592,3
1723,3
5753,6
5710,4
2611,6
5003,1
490,2
6183,1
2910,4
1006,5
6613,2
3431,5
2503,3
4639,1
2314,1
3410,2
6551,6
2554,5
1417,1
3096,4
25,5
2409,5
3270,5
1113,3
4373,5
1552,1
6283,5
5810,1
3624,5
3214,2
3402,3
433,6
979,2
2655,1
1847,1
4987,1
4697,5
1127,3
7220,4
5453,2
4347,2
2518,2
7066,1
1102,1
3276,5
7152,3
4989,1
4447,6
5448,2
5111,4
194,5
615,1
643,3
5285,5
3285,4
3116,4
3936,3
2776,6
6026,2
6214,3
4951,6
330,3
2207,2
6321,4
5292,5
2670,3
3299,4
972,2
483,3
2420,4
2602,6
719,4
3784,3
2059,5
2803,1
2566,5
4918,4
32,4
664,2
5785,1
4655,3
5929,4
6067,5
1444,3
7295,3
2792,6
3649,4
7162,2
1705,1
3661,4
5555,4
3964,2
4275,6
4896,5
3227,2
118,1
2277,6
2905,5
6508,4
1401,1
739,6
2456,6
170,2
540,5
883,4
5884,5
5510,5
4936,4
6856,4
4830,3
674,2
3209,3
397,4
2915,4
5427,3
1815,6
3908,1
4742,4
2100,4
4418,4
7286,1
6195,3
2101,4
7338,2
4205,5
6388,1
1548,1
6208,3
3647,4
3323,6
355,5
3826,4
1461,2
5097,5
2535,2
6513,4
3220,2
5241,2
2373,2
1051,6
3074,5
2321,1
4701,5
3334,6
4746,4
1751,2
3779,3
1772,5
1196,4
1878,3
2668,3
7336,2
2016,3
2005,1
5963,6
1482,5
3237,5
328,2
648,3
3599,3
2945,6
6659,4
1123,3
396,4
2788,6
4309,1
3771,2
4229,4
5149,6
6157,6
1259,1
4378,5
6125,4
6003,1
1519,4
3838,4
1378,6
5365,6
1023,4
2587,4
2918,4
6357,6
5946,6
7203,4
912,6
2857,2
6746,1
1675,6
1746,2
3026,2
532,5
1736,2
1629,5
4855,2
430,6
3523,6
1808,4
7004,4
3607,5
6505,4
4596,4
4786,6
234,4
4628,6
2222,5
6977,5
4220,4
6777,2
4538,5
6562,1
1948,4
5621,3
6529,6
6409,2
3492,4
6732,1
1995,1
3639,5
2671,3
6118,4
2224,5
1106,3
6059,5
818,3
3821,5
6384,1
5020,3
5341,6
1697,1
5837,2
136,3
1642,5
5737,4
4919,4
6521,6
1180,5
4619,6
888,4
2987,1
4077,6
2437,4
3927,1
5143,6
817,3
1111,3
3414,3
4603,6
2341,3
3167,1
5420,3
5002,1
5866,2
3065,5
1264,1
990,5
1464,2
3662,4
7239,6
1739,2
5286,5
6035,2
353,5
5605,1
4102,1
3768,2
5296,5
5166,6
1489,5
6653,5
4932,4
3130,6
1228,6
5649,2
4157,2
1053,6
6960,2
2894,5
6880,6
52,6
4416,4
4159,2
5155,6
3085,5
159,2
4539,5
1587,3
1589,3
1479,5
3555,1
5009,1
3145,6
1469,2
4385,5
3094,4
7174,5
3875,6
2078,5
7197,5
4626,6
4510,2
7244,6
7093,1
6974,5
2828,3
436,1
4258,6
7116,3
2960,6
5312,4
1588,3
4801,1
2780,6
7198,5
5409,1
1590,3
4722,5
973,2
1238,1
2951,6
7111,3
2342,3
3790,2
5926,4
4726,5
6280,5
2231,5
3866,6
1497,5
449,1
2369,2
7321,3
3429,5
4623,6
7083,1
6464,5
2422,4
6603,2
5701,5
4331,3
1551,1
6523,6
1146,2
6153,6
6334,6
2092,4
1313,2
2015,3
6081,5
187,5
5048,2
3655,4
3426,2
4340,3
1381,6
4490,1
413,6
4513,2
3455,5
941,1
801,3
3336,6
3606,5
6889,6
2750,4
3846,4
4519,2
4691,2
256,1
4262,6
7210,4
3199,3
2235,5
647,3
1767,5
5044,2
6380,1
7229,4
6210,3
4035,4
24,5
6326,4
1088,1
5774,6
2694,2
4677,2
3398,3
3559,3
112,1
2841,3
2311,1
3441,5
5140,6
6985,5
4925,4
3805,5
56,6
1309,2
695,5
6548,6
3961,2
3752,3
5349,6
1227,6
1999,1
276,1
6418,3
5538,4
1833,6
5826,3
6532,6
682,2
4427,4
6926,3
5316,4
5976,1
1137,2
2767,6
5941,6
4635,1
5004,1
942,1
1036,4
4063,6
5924,4
1346,4
3646,4
5956,6
4299,6
2784,6
880,4
2384,5
2988,1
115,1
5129,4
3400,3
7315,3
3119,4
4498,3
4217,5
7019,4
2819,1
3822,5
3947,2
1710,1
6119,4
6043,2
81,1
3802,5
3021,3
1972,6
1714,1
3536,1
3825,4
6899,1
5531,4
4198,5
6583,3
1946,4
4537,5
4306,1
6638,5
3488,4
1610,2
5108,4
1251,1
3833,4
694,5
3070,5
4487,1
7178,5
2867,2
5665,2
5705,5
3375,1
665,2
2194,2
4814,1
6004,3
6256,5
5307,5
1017,5
557,4
4848,3
6354,6
1207,4
4245,4
5028,3
4407,4
1510,4
4641,1
3829,4
3732,1
4789,6
3211,3
3630,5
5015,3
5017,3
266,1
6874,6
1140,2
3162,6
2111,6
5214,3
7194,5
1909,5
4881,5
6273,5
656,3
4950,6
5196,1
4714,5
5843,2
998,5
5908,4
2834,3
2809,1
6249,5
1784,5
1237,6
6122,4
3921,1
4769,6
5612,1
4582,4
7023,4
5964,6
7256,6
2186,3
2913,4
1134,2
908,6
6582,3
3708,6
1303,2
6860,4
1627,5
6967,2
1522,4
835,2
358,5
138,3
299,3
1556,1
1003,5
382,4
5077,5
4201,5
5082,5
761,6
4047,4
5849,2
5333,4
4303,6
4417,4
4287,6
5942,6
5060,2
1402,1
820,3
6474,5
6315,4
2721,5
1932,4
4464,6
3560,3
6612,2
6648,5
5583,6
6906,1
3055,5
3807,5
6282,5
4213,5
4894,5
2685,2
2478,1
58,6
76,6
796,1
2416,4
2248,5
5372,6
785,1
1731,3
7153,3
3158,6
3106,4
4250,4
123,1
2217,2
1572,1
4043,4
5303,5
5170,1
5257,2
4561,5
5670,2
910,6
2172,3
1850,1
2309,1
6882,6
3634,5
1257,1
2495,3
5542,4
4716,5
3501,6
1178,5
4472,1
7265,1
5533,4
6009,3
3650,4
442,1
5633,3
1399,1
2973,1
2884,5
1457,2
4523,3
7003,4
3459,5
1054,6
5927,4
6658,4
3275,5
5635,3
3699,6
3759,3
929,1
1415,1
2372,2
6346,6
1829,6
6230,2
816,3
4776,6
5160,6
6741,1
1502,4
5918,4
1450,2
4879,2
2011,3
5571,6
3515,6
4997,1
5723,4
6216,3
7053,6
2606,6
3264,5
5553,4
6226,2
6,5
2980,1
3361,1
1943,4
4480,1
6766,3
6217,2
5642,3
4707,5
6762,3
3134,6
4671,3
2242,5
1474,2
5446,2
1889,2
3435,5
7084,1
3705,6
2021,3
4020,4
5784,1
5238,2
5654,2
2658,1
1130,2
4890,5
6656,4
4503,3
6811,5
1236,6
7121,3
6606,2
2282,6
4983,6
4093,6
5829,3
6253,5
386,4
1628,5
3585,2
2714,5
4325,1
7348,2
6434,2
3189,1
909,6
5550,4
1866,3
1842,1
2497,3
6016,3
5234,3
4006,5
2702,2
6507,4
331,3
4307,1
4651,1
2459,6
1774,5
4570,4
6494,4
2686,2
6202,3
6233,2
5120,4
5395,1
5656,2
5614,1
5235,3
6034,2
173,2
3321,6
4264,6
3372,1
3311,4
4412,4
4562,5
5762,6
3403,3
18,5
3691,6
5690,5
4096,6
3628,5
5819,3
2174,3
1356,4
4449,6
3112,4
182,5
5740,4
5813,1
1812,4
4741,4
1800,4
2429,4
4516,2
6347,6
5113,4
7243,6
1159,5
1213,6
1325,5
5887,5
1455,2
4301,6
5876,5
1644,5
2140,1
5934,4
729,4
1936,4
3793,5
6857,4
6340,6
6560,1
1110,3
5969,6
2998,1
2394,5
1185,4
2007,1
193,5
5874,5
578,6
771,1
2395,5
7280,1
1846,1
6152,6
3740,1
4713,5
4878,2
2073,5
1896,2
6270,5
3659,4
2379,2
1447,3
342,3
6483,5
2527,2
727,4
976,2
6759,3
3516,6
7263,1
7056,6
3940,2
1299,2
6751,3
660,3
1492,5
6992,5
5369,6
2315,1
6825,5
6769,3
1085,1
6934,3
3198,3
6301,4
4982,6
67,6
5840,2
2269,4
5178,1
4424,4
5790,1
3447,5
2367,2
4362,3
4903,5
2512,3
2723,5
6260,5
5428,3
1143,2
6989,5
6305,4
5910,4
3789,2
2220,5
2331,3
5403,1
6286,4
6455,5
4088,6
1967,6
5748,6
6789,2
423,6
6367,6
1904,5
6669,4
3917,1
3618,5
839,2
4509,2
141,3
6068,5
1377,6
3674,4
5711,4
7204,4
3808,5
1138,2
2257,4
1787,5
3938,3
4758,4
459,1
6720,6
948,3
3700,6
1336,5
6236,2
1602,2
2238,5
639,3
7096,1
3830,4
4803,1
5072,5
6573,1
1070,6
155,2
2295,6
4679,2
1089,1
2940,6
6215,3
930,1
2909,4
4773,6
6743,1
3247,5
6677,4
5447,2
6510,4
6348,6
6848,4
1698,1
6915,1
